User.ID,Book.Title,Book.Rating
276726,Classical Mythology,5
276729,Clara Callan,3
276729,Decision in Normandy,6
276736,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,8
276737,The Mummies of Urumchi,6
276744,The Kitchen God's Wife,7
276745,What If?: The World's Foremost Military Historians Imagine What Might Have Been,10
276747,PLEADING GUILTY,9
276747,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,9
276747,Where You'll Find Me: And Other Stories,8
276747,Nights Below Station Street,7
276747,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,7
276748,The Middle Stories,6
276751,Jane Doe,8
276754,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),8
276755,The Witchfinder (Amos Walker Mystery Series),5
276760,More Cunning Than Man: A Social History of Rats and Man,10
276762,Goodbye to the Buttermilk Sky,5
276762,The Testament,8
276762,Beloved (Plume Contemporary Fiction),3
276762,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,4
276768,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,4
276772,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,7
276772,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),10
276772,Tell Me This Isn't Happening,10
276774,Flood : Mississippi 1927,9
276780,Wild Animus,7
276780,Airframe,7
276786,Timeline,6
276786,OUT OF THE SILENT PLANET,8
276786,Prague : A Novel,6
276786,Chocolate Jesus,6
276788,Wie Barney es sieht.,8
276788,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,7
276788,Sturmzeit. Roman.,10
276796,Tage der Unschuld.,5
276798,Lying Awake,5
276798,To Kill a Mockingbird,7
276798,Seabiscuit: An American Legend,6
276800,Pigs in Heaven,7
276804,Miss Zukas and the Raven's Dance,8
276808,Pride and Prejudice,10
276811,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,10
276812,Downtown,8
276813,Icebound,8
276813,I'll Be Seeing You,8
276813,From the Corner of His Eye,6
276813,Isle of Dogs,8
276813,Purity in Death,6
276813,This Year It Will Be Different: And Other Stories,6
276813,Proxies,8
276814,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),8
276814,The Street Lawyer,7
276814,"Love, Medicine and Miracles",9
276820,All the King's Men,9
276822,Pacific Northwest,10
276822,A Soldier of the Great War,9
276822,Getting Well Again,10
276822,Northwest Wines and Wineries,9
276822,An Atmosphere of Eternity: Stories of India,9
276822,LONESOME DOVE,10
276822,Shabanu: Daughter of the Wind (Border Trilogy),6
276822,Haveli (Laurel Leaf Books),9
276822,Lieux dits,8
276822,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,10
276822,The yawning heights,9
276822,Breathing Lessons,10
276822,The Joy Luck Club,10
276822,Heart of Darkness (Wordsworth Collection),8
276822,The Angel Is Near,10
276827,Tess of the D'Urbervilles (Wordsworth Classics),7
276828,The Adventures of Drew and Ellie: The Magical Dress,7
276830,The Accidental Virgin,9
276832,The Tao of Pooh,5
276835,Seabiscuit,10
276837,The Prince,5
276842,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),7
276847,Starship Troopers,5
276847,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",8
276847,Black Beauty (Illustrated Classics),8
276847,Anil's Ghost,7
276847,Prescription for Terror,10
276847,Modern Manners: An Etiquette Book for Rude People,8
276847,Turning Thirty,8
276847,Decipher,9
276847,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",10
276847,Standing Firm: A Vice-Presidential Memoir,9
276847,Team Bush : Leadership Lessons from the Bush White House,8
276847,The Right Man : The Surprise Presidency of George W. Bush,7
276847,Daybreakers Louis Lamour Collection,10
276847,The Catcher in the Rye,8
276847,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),10
276847,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),7
276847,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",9
276847,Midnight in the Garden of Good and Evil: A Savannah Story,6
276847,Pretend You Don't See Her,7
276847,Fast Women,9
276847,Female Intelligence,7
276847,Pasquale's Nose: Idle Days in an Italian Town,6
276847,The Gospel of Judas: A Novel,8
276847,"Prize Stories, 1987: The O'Henry Awards",10
276847,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",10
276847,The Pillars of the Earth,10
276847,McDonald's: Behind the Arches,10
276847,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,10
276847,Corelli's Mandolin : A Novel,9
276847,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",7
276847,The Five People You Meet in Heaven,10
276847,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),10
276847,Relics (Star Trek: The Next Generation),10
276847,Bless The Beasts And Children : Bless The Beasts And Children,8
276847,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",10
276847,Blood Oath,5
276848,The Alibi,8
276850,The Beach House,7
276853,A Kiss Remembered,1
276853,The Short Forever,7
276854,Dead Aim,5
276854,Angels &amp; Demons,5
276857,The Deal,6
276859,All He Ever Wanted: A Novel,6
276859,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",7
276859,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",8
276859,The Mosquito Coast,8
276859,"If Love Were Oil, I'd Be About a Quart Low",10
276859,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",10
276859,The Girl Who Loved Tom Gordon,9
276859,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,6
276859,"The Oneprince (The Redaemian Chronicles, Book 1)",8
276861,The Sum of All Fears,9
276861,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,10
276861,O Deus Das Pequenas Coisas,8
276861,Lady in Green/Minor Indiscretions (Signet Regency Romance),9
